HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
119409.375,-1.2464035,3.07018,3.007533,255808.12,2,0.03023214
130492.43,-1.9845431,0.059280157,2.016272,93831.805,4,-0.28448835
134739.5,-2.2390003,0.024563551,6.0785074,1.0579049e+06,2,-0.10686959
122662.586,-3.490529,1.988914,2.9081092,179544.75,4,-0.12992792
132409.72,-0.874276,1.6279923,2.7063665,196167.52,3,0.22977574
124464.02,-2.0297594,1.230553,3.2177427,201043.19,4,0.11309683
121403.4,-1.224087,2.9583693,7.045368,1.1239662e+06,4,0.0137119
130221.03,-2.0866535,2.8667393,3.9871948,316558.25,3,-0.031467352
132678.23,-2.5121906,0.5422735,3.399839,396252.94,4,-0.09901453
123480.36,-0.23105621,3.1320825,5.6719155,637376.7,2,-0.01055854
134659.28,-2.0185812,2.2641077,6.0627346,1.0833644e+06,4,0.00069630245
115984.85,-1.3529365,0.18141627,7.424622,1.2899246e+06,3,-0.014422899
119927.61,1.1624769,3.0029485,3.6210353,544288.0,3,-0.044486478
133400.27,-3.1730344,3.0611804,2.6507404,214340.33,2,0.00097571424
121555.24,-1.6671976,3.0975282,3.8854117,306690.62,4,0.00980268
133503.12,-2.4247484,2.3101056,5.810438,1.2247274e+06,7,-0.060779113
124019.47,-3.2374518,2.8284302,3.8653378,273984.84,2,-0.62400186
120054.305,-1.8821623,2.989655,2.7375917,787487.4,4,2.463689
119950.625,-3.8343806,2.2006729,3.8432298,361244.16,6,-0.095922425
128403.28,-2.0216124,2.6731446,2.1747298,164628.23,3,0.021293795
124970.32,-0.8646456,2.4767697,3.1312215,372244.28,6,-0.41361317
122377.65,-3.2066352,2.4449012,2.1879973,176946.48,2,0.2502704
127663.84,-1.5653654,1.3107759,2.2775135,112963.04,2,-0.3317232
118841.39,-2.2320895,2.610728,2.3464243,544382.6,7,-0.12116248
122140.5,-3.9558988,2.8681414,2.4427001,203360.9,2,0.1414575
